noaa_station_id,nws_station_id,noaa_station_name,nws_station_name,display_name,lat,lon,state,station_type,supports_water_level,distance_km
9034052,KDET,St Clair Shores,Detroit City Airport,St Clair Shores (9034052),42.47322,-82.87925,Maryland,Unknown,False,13.93
9044020,KONZ,Gibraltar,Grosse Ile Municipal Airport,Gibraltar (9044020),42.090862,-83.186,Virginia,Unknown,False,2.37
9044030,KONZ,Wyandotte,Grosse Ile Municipal Airport,Wyandotte (9044030),42.202305,-83.1475,Maryland,Unknown,False,11.42
9044036,KDET,Fort Wayne,Detroit City Airport,Fort Wayne (9044036),42.298912,-83.092636,Maryland,Unknown,False,12.84
9044049,KDET,Windmill Point,Detroit City Airport,Windmill Point (9044049),42.357777,-82.92995,Maryland,Unknown,False,8.55
9052000,KART,Cape Vincent,Watertown International Airport,Cape Vincent (9052000),44.13028,-76.33222,New York,Unknown,False,28.3
9052030,KFZY,Oswego,"Fulton, Oswego County Airport",Oswego (9052030),43.46417,-76.51183,New York,Unknown,False,15.2
9052058,KROC,Rochester,Greater Rochester International Airport,Rochester (9052058),43.26903,-77.62575,New York,Unknown,False,16.96
9052076,KIAG,Olcott,Niagara Falls International Airport,Olcott (9052076),43.33839,-78.72733,New York,Unknown,False,31.15
9063007,KIAG,Ashland Ave,Niagara Falls International Airport,Ashland Ave (9063007),43.09992,-79.05991,New York,Unknown,False,8.99
9063009,KIAG,American Falls,Niagara Falls International Airport,American Falls (9063009),43.08106,-79.06136,New York,Unknown,False,9.6
9063012,KIAG,Niagara Intake,Niagara Falls International Airport,Niagara Intake (9063012),43.07689,-79.01403,New York,Unknown,False,6.37
9063020,KBUF,Buffalo,Greater Buffalo International Airport,Buffalo (9063020),42.877445,-78.89047,New York,Unknown,False,14.81
9063028,KDKK,Sturgeon Point,Chautauqua County / Dunkirk Airport,Sturgeon Point (9063028),42.691307,-79.04733,New York,Unknown,False,28.55
9063038,KERI,"Erie, Lake Erie",Erie International Airport,"Erie, Lake Erie (9063038)",42.15389,-80.075836,Maryland,Unknown,False,11.89
9063053,KCGF,Fairport,Cleveland / Cuyahoga,Fairport (9063053),41.75975,-81.28106,Maryland,Unknown,False,25.93
9063063,KBKL,Cleveland,Cleveland/Burke Lakefront,Cleveland (9063063),41.54086,-81.635475,Maryland,Unknown,False,4.37
9063079,KLPR,Marblehead,Lorain County Regional Airport,Marblehead (9063079),41.54364,-82.73139,Virginia,Unknown,False,51.02
9063085,KTDZ,Toledo,"Toledo, Metcalf Field",Toledo (9063085),41.693554,-83.472275,Virginia,Unknown,False,14.86
9063090,KTTF,Fermi Power Plant,"Monroe, Custer Airport",Fermi Power Plant (9063090),41.96,-83.25667,Virginia,Unknown,False,14.51
9075002,KPHN,Lakeport,St. Clair County International,Lakeport (9075002),43.141693,-82.49331,Maryland,Unknown,False,24.83
9075014,KP58,Harbor Beach,Port Hope,Harbor Beach (9075014),43.84639,-82.64306,New York,Unknown,False,22.92
9075035,KMBS,Essexville,"Saginaw, MBS International Airport",Essexville (9075035),43.6404,-83.8468,New York,Unknown,False,22.44
9075065,KAPN,Alpena,Alpena County Regional Airport,Alpena (9075065),45.063,-83.4286,New York,Unknown,False,11.26
9075080,KMCD,Mackinaw City,Mackinac Island Airport,Mackinaw City (9075080),45.77722,-84.72111,New York,Unknown,False,11.15
9075099,KCIU,De Tour Village,Chippewa International Automatic Weather Observing,De Tour Village (9075099),45.9925,-83.8982,New York,Unknown,False,53.17
9076024,KCIU,Rock Cut,Chippewa International Automatic Weather Observing,Rock Cut (9076024),46.264805,-84.19119,New York,Unknown,False,21.44
9076027,KCIU,West Neebish Island,Chippewa International Automatic Weather Observing,West Neebish Island (9076027),46.283306,-84.205,New York,Unknown,False,20.53
9076033,KANJ,Little Rapids,Sault Ste. Marie,Little Rapids (9076033),46.485832,-84.30167,New York,Unknown,False,4.93
9076060,KANJ,U.S. Slip,Sault Ste. Marie,U.S. Slip (9076060),46.500805,-84.34036,New York,Unknown,False,2.63
9076070,KANJ,"S.W. Pier, St. Marys River",Sault Ste. Marie,"S.W. Pier, St. Marys River (9076070)",46.50111,-84.37261,New York,Unknown,False,1.86
9087023,KLDM,Ludington,"Ludington, Mason County Airport",Ludington (9087023),43.94736,-86.4415,Virginia,Unknown,False,2.89
9087031,KBIV,Holland,West Michigan Regional Airport,Holland (9087031),42.773335,-86.212776,Virginia,Unknown,False,9.57
9087044,KGYY,Calumet Harbor,Gary Chicago International,Calumet Harbor (9087044),41.72972,-87.53833,Virginia,Unknown,False,15.67
9087057,KMKE,Milwaukee,"Milwaukee, General Mitchell International Airport",Milwaukee (9087057),43.001972,-87.88764,Virginia,Unknown,False,4.77
9087068,KMTW,"Kewaunee, Lake Michigan",Manitowoc Municipal Automatic Weather Observing,"Kewaunee, Lake Michigan (9087068)",44.46389,-87.50103,New York,Unknown,False,38.44
9087072,KSUE,Sturgeon Bay Canal,Sturgeon Bay,Sturgeon Bay Canal (9087072),44.794693,-87.31392,New York,Unknown,False,6.7
9087077,KGRB,Green Bay East,"Green Bay, Austin Straubel International Airport",Green Bay East (9087077),44.539024,-88.00106,New York,Unknown,False,12.15
9087088,KMNM,Menominee,Menominee Automatic Weather Observing / Reporting,Menominee (9087088),45.09589,-87.58994,New York,Unknown,False,4.13
9087096,KP75,Port Inland,Marquette,Port Inland (9087096),45.96989,-85.8715,New York,Unknown,False,5.81
9099004,KANJ,Point Iroquois,Sault Ste. Marie,Point Iroquois (9099004),46.484444,-84.63084,New York,Unknown,False,20.28
9099018,KMQT,Marquette C.G.,Marquette,Marquette C.G. (9099018),46.545555,-87.37861,New York,Unknown,False,13.18
9099044,KCMX,Ontonagon,"Hancock, Houghton County Memorial Airport",Ontonagon (9099044),46.874443,-89.324165,New York,Unknown,False,71.11
9099064,KDYT,Duluth,Sky Harbor Airport,Duluth (9099064),46.77575,-92.092026,New York,Unknown,False,7.36
9099090,KGNA,"Grand Marais, Lake Superior",The Bay of Grand Marais,"Grand Marais, Lake Superior (9099090)",47.748554,-90.34128,New York,Unknown,False,0.19
9410170,KSAN,San Diego,San Diego/Lindbergh,San Diego (9410170),32.715557,-117.17667,California,Unknown,False,1.72
9410230,KNKX,La Jolla,Miramar MCAS,La Jolla (9410230),32.86689,-117.25714,California,Unknown,False,10.11
9410660,KTOA,Los Angeles,Torrance Municipal,Los Angeles (9410660),33.72,-118.272,California,Unknown,False,10.39
9410840,KSMO,Santa Monica,Santa Monica Muni,Santa Monica (9410840),34.0083,-118.5,California,Unknown,False,5.2
9411340,KSBA,Santa Barbara,Santa Barbara Muni,Santa Barbara (9411340),34.40459,-119.6925,California,Unknown,False,13.21
9412110,KSBP,Port San Luis,San Luis Obispo,Port San Luis (9412110),35.168888,-120.754166,California,Unknown,False,13.04
9413450,KMRY,Monterey,Monterey Peninsula,Monterey (9413450),36.60889,-121.89139,California,Unknown,False,5.05
9414290,KSFO,San Francisco,San Francisco Intl Airport,San Francisco (9414290),37.806305,-122.46589,California,Unknown,False,22.37
9414523,KSQL,Redwood City,San Carlos Airport,Redwood City (9414523),37.506813,-122.21191,California,Unknown,False,4.23
9414750,KOAK,Alameda,Oakland,Alameda (9414750),37.771954,-122.30026,California,Unknown,False,10.67
9414863,KDVO,Richmond,Novato/Gnoss Field Airport,Richmond (9414863),37.9283,-122.4,California,Unknown,False,27.56
9415020,KDVO,Point Reyes,Novato/Gnoss Field Airport,Point Reyes (9415020),37.994167,-122.97361,California,Unknown,False,40.16
9415102,KCCR,Martinez-Amorco Pier,Concord/Buchanan,Martinez-Amorco Pier (9415102),38.034637,-122.12519,California,Unknown,False,8.96
9415144,KCCR,Port Chicago,Concord/Buchanan,Port Chicago (9415144),38.056,-122.0395,California,Unknown,False,8.5
9416131,KSAC,"Port of West Sacramento, Washington Lake",Sacramento/Executiv,"Port of West Sacramento, Washington Lake (9416131)",38.56225,-121.5463,California,Unknown,False,6.19
9416841,KUKI,Arena Cove,Ukiah Muni (awos),Arena Cove (9416841),38.914555,-123.71108,California,Unknown,False,50.77
9418767,KEKA,North Spit,Eureka,North Spit (9418767),40.766907,-124.21735,Oregon,Unknown,False,5.61
9419750,KCEC,Crescent City,Crescent City,Crescent City (9419750),41.74561,-124.18439,Oregon,Unknown,False,6.76
9431647,K92S,Port Orford,Cape Blanco (cgs),Port Orford (9431647),42.739,-124.4983,Oregon,Unknown,False,11.86
9432780,KOTH,Charleston,North Bend (awos),Charleston (9432780),43.345,-124.322,Oregon,Unknown,False,11.1
9435380,KJNW,South Beach,Newport,South Beach (9435380),44.625446,-124.044945,Oregon,Unknown,False,5.03
9437540,KS47,Garibaldi,Tillamook Municipal Airport,Garibaldi (9437540),45.55453,-123.918945,Oregon,Unknown,False,17.23
9439040,KAST,Astoria,Astoria/Clatsop,Astoria (9439040),46.207306,-123.7683,Washington,Unknown,False,10.08
9439099,KAST,Wauna,Astoria/Clatsop,Wauna (9439099),46.16,-123.405,Washington,Unknown,False,36.58
9439201,KSPB,St Helens,Scappoose Industrial Apk (1s4),St Helens (9439201),45.865,-122.797,Washington,Unknown,False,11.8
9440083,KVUO,Vancouver,Pearson Airpark Vancouver,Vancouver (9440083),45.631172,-122.69577,Oregon,Unknown,False,3.05
9440357,KKLS,TEMCO Kalama Terminal,Kelso-Longview AWOS,TEMCO Kalama Terminal (9440357),45.9867,-122.8367,Washington,Unknown,False,15.29
9440422,KKLS,Longview,Kelso-Longview AWOS,Longview (9440422),46.1061,-122.9542,Washington,Unknown,False,4.35
9440569,KAST,Skamokawa,Astoria/Clatsop,Skamokawa (9440569),46.270306,-123.4565,Washington,Unknown,False,34.82
9440581,KAST,Cape Disappointment,Astoria/Clatsop,Cape Disappointment (9440581),46.28103,-124.04628,Washington,Unknown,False,18.57
9440910,KHQM,Toke Point,Hoquiam/Bowerman,Toke Point (9440910),46.7075,-123.96694,Washington,Unknown,False,30.3
9441102,KHQM,Westport,Hoquiam/Bowerman,Westport (9441102),46.90431,-124.10508,Washington,Unknown,False,13.27
9442396,KUIL,"La Push, Quillayute River",Quillayute State,"La Push, Quillayute River (9442396)",47.912838,-124.63574,Washington,Unknown,False,8.26
9443090,KUIL,Neah Bay,Quillayute State,Neah Bay (9443090),48.370724,-124.601585,Washington,Unknown,False,45.83
9444090,KCLM,Port Angeles,Port Angeles Intl Airport,Port Angeles (9444090),48.125,-123.44,Washington,Unknown,False,4.49
9444900,K76S,Port Townsend,Oak Harbor Airport,Port Townsend (9444900),48.11122,-122.759674,Washington,Unknown,False,16.89
9445958,KPWT,Bremerton,Bremerton Ntnl Awos,Bremerton (9445958),47.5617,-122.623,Washington,Unknown,False,14.3
9446484,KTIW,Tacoma,Tacoma Narrows,Tacoma (9446484),47.2667,-122.4133,Washington,Unknown,False,12.66
9447130,KBFI,Seattle,Seattle/Boeing Fld,Seattle (9447130),47.60264,-122.3393,Washington,Unknown,False,7.56
9449424,KBLI,Cherry Point,Bellingham Intl Airport,Cherry Point (9449424),48.862717,-122.75858,Washington,Unknown,False,17.93
9449880,KFHR,Friday Harbor,Friday Harbor,Friday Harbor (9449880),48.545277,-123.0125,Washington,Unknown,False,2.86
